id,countryid,cityname,population,latitude,longitude
1001,1013,"Amsterdam",905,52.3676,4.9041
1002,1019,"Ankara",5600,39.9208,32.8541
1003,1010,"Athens",3100,37.9838,23.7275
1004,1017,"Barcelona",1650,41.3851,2.1734
1005,1016,"Belgrade",1370,44.7866,20.4489
1006,1009,"Berlin",3700,52.5200,13.4050
1007,1005,"Brno",380,49.1951,16.6068
1008,1003,"Brussels",1200,50.8503,4.3517
1009,1011,"Budapest",1750,47.4979,19.0402
1010,1006,"Copenhagen",800,55.6761,12.5683
1011,1020,"Edinburgh",540,55.9533,-3.1883
1012,1018,"Gothenburg",580,57.7089,11.9746
1013,1001,"Graz",330,47.0707,15.4395
1014,1009,"Hamburg",1850,53.5511,9.9937
1015,1007,"Helsinki",655,60.1695,24.9354
1016,1019,"Istanbul",15500,41.0082,28.9784
1017,1015,"Kazan",1250,55.8304,49.0661
1018,1009,"Leipzig",625,51.3397,12.3731
1019,1020,"London",8900,51.5074,-0.1278
1020,1008,"Lyon",520,45.7640,4.8357
1021,1008,"Marseille",870,43.2965,5.3698
1022,1012,"Milan",1380,45.4642,9.1900
1023,1002,"Minsk",2000,53.9006,27.5590
1024,1015,"Moscow",12600,55.7558,37.6173
1025,1009,"Munich",1550,48.1351,11.5820
1026,1008,"Paris",2160,48.8566,2.3522
1027,1005,"Prague",1300,50.0755,14.4378
1028,1012,"Rome",2870,41.9028,12.4964
1029,1001,"Salzburg",155,47.8095,13.0550
1030,1015,"St. Petersburg",5400,59.9311,30.3609
1031,1018,"Stockholm",975,59.3293,18.0686
1032,1009,"Stuttgart",635,48.7758,9.1829
1033,1015,"Ufa",1150,54.7388,55.9721
1034,1001,"Vienna",1920,48.2082,16.3738
1035,1014,"Warsaw",1790,52.2297,21.0122
1036,1004,"Zagreb",770,45.8150,15.9819
