id,roleid,badgenumber,validfrom,validto
1001,1006,"EMP001","2023-01-01","2023-05-20"
1002,1008,"EMP001","2023-05-21","2023-11-15"
1003,1006,"EMP001","2023-11-16","\N"
1004,1013,"EMP002","2023-01-01","2023-05-02"
1005,1016,"EMP002","2023-05-03","2023-08-03"
1006,1014,"EMP002","2023-08-04","\N"
1007,1007,"EMP003","2023-01-01","2023-04-22"
1008,1006,"EMP003","2023-04-23","\N"
1009,1001,"EMP004","2023-01-01","\N"
1010,1010,"EMP005","2023-01-01","2023-04-10"
1011,1012,"EMP005","2023-04-11","2023-08-25"
1012,1011,"EMP005","2023-08-26","2024-01-23"
1013,1009,"EMP005","2024-01-24","\N"
1014,1001,"EMP006","2023-01-01","\N"
1015,1005,"EMP007","2023-01-01","2023-05-05"
1016,1007,"EMP007","2023-05-06","\N"
1017,1002,"EMP008","2023-01-01","2023-05-26"
1018,1001,"EMP008","2023-05-27","\N"
1019,1014,"EMP009","2023-01-01","2023-04-14"
1020,1016,"EMP009","2023-04-15","2023-07-25"
1021,1014,"EMP009","2023-07-26","\N"
1022,1016,"EMP010","2023-01-01","\N"
1023,1001,"EMP011","2023-01-01","2023-04-18"
1024,1002,"EMP011","2023-04-19","\N"
1025,1016,"EMP012","2023-01-01","2023-06-08"
1026,1015,"EMP012","2023-06-09","2023-10-12"
1027,1016,"EMP012","2023-10-13","2024-01-14"
1028,1013,"EMP012","2024-01-15","\N"
1029,1010,"EMP013","2023-01-01","2023-04-18"
1030,1009,"EMP013","2023-04-19","2023-07-23"
1031,1012,"EMP013","2023-07-24","2024-01-17"
1032,1009,"EMP013","2024-01-18","\N"
1033,1013,"EMP014","2023-01-01","2023-06-17"
1034,1016,"EMP014","2023-06-18","\N"
1035,1002,"EMP015","2023-01-01","2023-04-29"
1036,1003,"EMP015","2023-04-30","2023-09-13"
1037,1004,"EMP015","2023-09-14","2024-02-09"
1038,1003,"EMP015","2024-02-10","\N"
1039,1013,"EMP016","2023-01-01","2023-06-25"
1040,1015,"EMP016","2023-06-26","2023-12-02"
1041,1013,"EMP016","2023-12-03","2024-05-28"
1042,1014,"EMP016","2024-05-29","\N"
1043,1015,"EMP017","2023-01-01","2023-06-19"
1044,1014,"EMP017","2023-06-20","2023-10-25"
1045,1015,"EMP017","2023-10-26","\N"
1046,1006,"EMP018","2023-01-01","\N"
1047,1002,"EMP019","2023-01-01","2023-04-24"
1048,1003,"EMP019","2023-04-25","\N"
1049,1002,"EMP020","2023-01-01","2023-06-10"
1050,1004,"EMP020","2023-06-11","\N"
