id,paramid,alertid,threshold
1001,1001,1001,44.2919
1002,1001,1002,66.4378
1003,1001,1003,99.6567
1004,1001,1004,149.4850
1005,1002,1001,30.7647
1006,1002,1002,46.1471
1007,1002,1003,69.2206
1008,1002,1004,103.8310
1009,1003,1001,24.9433
1010,1003,1002,37.4150
1011,1003,1003,56.1224
1012,1003,1004,84.1837
1013,1004,1001,92.2450
1014,1004,1002,138.3675
1015,1004,1003,207.5513
1016,1004,1004,311.3269
1017,1005,1001,62.0145
1018,1005,1002,93.0218
1019,1005,1003,139.5327
1020,1005,1004,209.2990
1021,1006,1001,72.1119
1022,1006,1002,108.1679
1023,1006,1003,162.2519
1024,1006,1004,243.3778
1025,1007,1001,59.7754
1026,1007,1002,89.6630
1027,1007,1003,134.4945
1028,1007,1004,201.7418
1029,1008,1001,44.5190
1030,1008,1002,66.7784
1031,1008,1003,100.1677
1032,1008,1004,150.2515
1033,1009,1001,75.8462
1034,1009,1002,113.7693
1035,1009,1003,170.6539
1036,1009,1004,255.9809
1037,1010,1001,61.8785
1038,1010,1002,92.8178
1039,1010,1003,139.2267
1040,1010,1004,208.8400
1041,1011,1001,80.3089
1042,1011,1002,120.4633
1043,1011,1003,180.6949
1044,1011,1004,271.0424
1045,1012,1001,69.5423
1046,1012,1002,104.3134
1047,1012,1003,156.4701
1048,1012,1004,234.7052
1049,1013,1001,85.5368
1050,1013,1002,128.3052
1051,1013,1003,192.4578
1052,1013,1004,288.6868
1053,1014,1001,49.5455
1054,1014,1002,74.3183
1055,1014,1003,111.4774
1056,1014,1004,167.2161
1057,1015,1001,23.9544
1058,1015,1002,35.9317
1059,1015,1003,53.8975
1060,1015,1004,80.8463
1061,1016,1001,23.4852
1062,1016,1002,35.2277
1063,1016,1003,52.8416
1064,1016,1004,79.2624
1065,1017,1001,75.0853
1066,1017,1002,112.6279
1067,1017,1003,168.9419
1068,1017,1004,253.4128
1069,1018,1001,25.0760
1070,1018,1002,37.6140
1071,1018,1003,56.4209
1072,1018,1004,84.6314
1073,1019,1001,68.9190
1074,1019,1002,103.3785
1075,1019,1003,155.0677
1076,1019,1004,232.6015
1077,1020,1001,65.8696
1078,1020,1002,98.8044
1079,1020,1003,148.2066
1080,1020,1004,222.3099
1081,1021,1001,15.3549
1082,1021,1002,23.0324
1083,1021,1003,34.5486
1084,1021,1004,51.8229
1085,1022,1001,80.5883
1086,1022,1002,120.8824
1087,1022,1003,181.3236
1088,1022,1004,271.9855
1089,1023,1001,12.9706
1090,1023,1002,19.4558
1091,1023,1003,29.1838
1092,1023,1004,43.7756
1093,1024,1001,88.0203
1094,1024,1002,132.0304
1095,1024,1003,198.0456
1096,1024,1004,297.0684
1097,1025,1001,85.6941
1098,1025,1002,128.5412
1099,1025,1003,192.8118
1100,1025,1004,289.2177
1101,1026,1001,29.4286
1102,1026,1002,44.1429
1103,1026,1003,66.2144
1104,1026,1004,99.3215
1105,1027,1001,75.3614
1106,1027,1002,113.0421
1107,1027,1003,169.5632
1108,1027,1004,254.3448
1109,1028,1001,75.9106
1110,1028,1002,113.8659
1111,1028,1003,170.7989
1112,1028,1004,256.1983
1113,1029,1001,21.2503
1114,1029,1002,31.8755
1115,1029,1003,47.8133
1116,1029,1004,71.7199
1117,1030,1001,70.2957
1118,1030,1002,105.4436
1119,1030,1003,158.1653
1120,1030,1004,237.2480
