id,sensortypeid,paramid,accuracy
1001,1001,1001,"High"
1002,1001,1010,"Low"
1003,1001,1005,"Low"
1004,1001,1022,"High"
1005,1001,1025,"Medium"
1006,1001,1028,"High"
1007,1001,1027,"High"
1008,1001,1030,"Low"
1009,1001,1012,"Low"
1010,1001,1029,"Low"
1011,1002,1015,"High"
1012,1002,1025,"Medium"
1013,1002,1011,"High"
1014,1002,1001,"Low"
1015,1002,1019,"Low"
1016,1002,1014,"High"
1017,1002,1009,"Medium"
1018,1002,1026,"Low"
1019,1003,1026,"Medium"
1020,1003,1024,"Low"
1021,1003,1017,"Low"
1022,1003,1007,"Low"
1023,1003,1002,"Medium"
1024,1003,1029,"Low"
1025,1003,1013,"Medium"
1026,1003,1008,"Low"
1027,1003,1010,"Low"
1028,1003,1003,"Medium"
1029,1003,1027,"High"
1030,1004,1021,"Low"
1031,1004,1005,"High"
1032,1004,1018,"High"
1033,1004,1020,"High"
1034,1004,1003,"High"
1035,1004,1025,"Low"
1036,1004,1013,"Low"
1037,1004,1006,"Low"
1038,1004,1027,"Medium"
1039,1005,1025,"Low"
1040,1005,1017,"High"
1041,1005,1002,"Low"
1042,1005,1012,"Medium"
1043,1005,1011,"High"
1044,1005,1019,"Medium"
1045,1005,1030,"Medium"
1046,1005,1004,"High"
1047,1005,1010,"High"
1048,1005,1016,"High"
1049,1006,1026,"Low"
1050,1006,1014,"High"
1051,1006,1015,"Medium"
1052,1006,1020,"High"
1053,1006,1001,"High"
1054,1006,1006,"Low"
1055,1006,1009,"Medium"
1056,1006,1007,"High"
1057,1006,1010,"Low"
1058,1006,1003,"Low"
1059,1006,1029,"Medium"
1060,1006,1018,"Medium"
1061,1007,1023,"High"
1062,1007,1025,"High"
1063,1007,1011,"Medium"
1064,1007,1020,"Low"
1065,1007,1008,"Medium"
1066,1007,1014,"High"
1067,1007,1030,"High"
1068,1007,1013,"High"
1069,1007,1016,"High"
1070,1007,1012,"High"
1071,1007,1010,"High"
1072,1008,1021,"Low"
1073,1008,1004,"High"
1074,1008,1006,"Medium"
1075,1008,1018,"Medium"
1076,1008,1019,"Low"
1077,1008,1010,"Medium"
1078,1009,1005,"High"
1079,1009,1025,"Low"
1080,1009,1016,"Medium"
1081,1009,1028,"Low"
1082,1009,1024,"Medium"
1083,1009,1003,"Medium"
1084,1009,1009,"Low"
1085,1009,1021,"High"
1086,1009,1013,"Medium"
1087,1009,1011,"High"
1088,1009,1022,"High"
1089,1010,1011,"High"
1090,1010,1015,"High"
1091,1010,1029,"Medium"
1092,1010,1026,"Low"
1093,1010,1023,"Medium"
1094,1010,1024,"Medium"
1095,1010,1025,"Low"
1096,1011,1023,"Medium"
1097,1011,1030,"Low"
1098,1011,1005,"High"
1099,1011,1017,"Medium"
1100,1011,1027,"Low"
1101,1011,1019,"Low"
1102,1011,1003,"Low"
1103,1011,1012,"Low"
1104,1011,1018,"Medium"
1105,1012,1015,"Low"
1106,1012,1027,"Low"
1107,1012,1013,"Low"
1108,1012,1021,"High"
1109,1012,1029,"High"
1110,1012,1001,"Low"
1111,1012,1003,"Medium"
1112,1012,1004,"Medium"
1113,1012,1019,"Medium"
1114,1012,1012,"Medium"
1115,1012,1007,"High"
