id,sensortypeid,cityid,locationname,locationtype,altitude,installedat
1001,1011,1001,"Dam Square","Industrial",120,"2019-01-05"
1002,1004,1001,"Rijksmuseum","Other",7,"2020-10-08"
1003,1011,1001,"Van Gogh Museum","Urban",158,"2018-07-21"
1004,1001,1001,"Anne Frank House","Urban",109,"2021-03-14"
1005,1009,1001,"Vondelpark","Industrial",100,"2017-02-06"
1006,1012,1001,"Magere Brug (Skinny Bridge)","Suburban",27,"2017-11-05"
1007,1004,1002,"Anitkabir","Other",1,"2020-05-09"
1008,1003,1002,"Museum of Anatolian Civilizations","Suburban",10,"2021-07-22"
1009,1004,1002,"Ankara Castle (Hisar)","Urban",25,"2019-08-08"
1010,1008,1002,"Haci Bayram Mosque","Urban",29,"2020-03-30"
1011,1011,1002,"Temple of Augustus and Rome","Urban",39,"2020-10-15"
1012,1005,1002,"Kocatepe Mosque","Urban",3,"2022-04-10"
1013,1004,1002,"Genclik Parki (Youth Park)","Industrial",38,"2021-10-26"
1014,1007,1002,"Atakule Tower","Industrial",13,"2021-09-11"
1015,1012,1002,"Ankara Ethnography Museum","Suburban",4,"2018-11-17"
1016,1003,1002,"War of Independence Museum","Other",28,"2022-01-21"
1017,1010,1002,"Central Park","Other",7,"2022-09-23"
1018,1008,1002,"City Stadium","Industrial",1,"2020-07-03"
1019,1012,1002,"City Museum","Other",14,"2022-09-07"
1020,1001,1002,"National Library","Suburban",19,"2018-03-10"
1021,1001,1002,"New Bazaar","Suburban",18,"2022-09-27"
1022,1010,1002,"Downtown Mall","Other",37,"2017-09-28"
1023,1005,1002,"City Park","Urban",12,"2017-10-19"
1024,1008,1002,"General Hospital","Suburban",22,"2019-11-09"
1025,1005,1003,"Acropolis of Athens","Suburban",34,"2020-06-26"
1026,1001,1003,"Ancient Agora","Suburban",6,"2021-05-31"
1027,1003,1003,"Temple of Olympian Zeus","Urban",5,"2021-11-15"
1028,1007,1003,"Panathenaic Stadium","Urban",25,"2021-10-24"
1029,1009,1003,"National Archaeological Museum","Suburban",7,"2017-06-28"
