id,servicetypeid,employeeid,sensordevid,servicedat,servicecost,durationminutes,servicequality
100001,1003,1225,1001,"2023-01-09",198,71,4
100002,1004,1387,1001,"2023-01-24",95,93,5
100003,1004,1427,1001,"2023-01-28",193,91,4
100004,1003,1144,1001,"2023-03-05",188,69,1
100005,1022,1215,1001,"2023-03-11",191,108,5
100006,1016,1267,1001,"2023-03-26",173,135,4
100007,1022,1124,1001,"2023-04-05",182,70,5
100008,1008,1401,1001,"2023-04-17",276,131,5
100009,1024,1048,1001,"2023-05-04",158,165,5
100010,1021,1061,1001,"2023-06-01",107,117,3
100011,1013,1410,1001,"2023-06-12",227,110,3
100012,1001,1139,1001,"2023-06-14",187,67,5
100013,1007,1278,1001,"2023-06-18",222,96,4
100014,1017,1102,1001,"2023-07-04",132,64,4
100015,1021,1256,1001,"2023-08-09",156,53,5
100016,1006,1290,1001,"2023-09-27",190,46,4
100017,1018,1380,1001,"2023-11-15",188,148,4
100018,1016,1124,1001,"2023-11-22",236,50,2
100019,1007,1128,1001,"2023-12-18",249,63,3
100020,1020,1401,1001,"2024-01-27",229,137,5
100021,1016,1381,1001,"2024-02-26",120,126,4
100022,1013,1227,1001,"2024-03-03",178,90,4
100023,1015,1413,1001,"2024-04-03",117,157,4
100024,1005,1278,1001,"2024-04-16",162,83,5
100025,1021,1387,1001,"2024-05-11",176,70,3
100026,1009,1356,1001,"2024-05-18",232,116,4
100027,1009,1320,1001,"2024-06-07",125,125,4
100028,1015,1050,1001,"2024-06-30",158,68,2
100029,1012,1224,1001,"2024-07-16",171,145,4
100030,1003,1365,1001,"2024-07-30",163,75,5
100031,1010,1139,1001,"2024-09-02",144,62,5
100032,1024,1322,1001,"2024-09-06",286,66,4
100033,1015,1304,1001,"2024-09-08",127,91,5
100034,1004,1133,1001,"2024-10-15",115,104,4
100035,1005,1311,1001,"2024-10-16",145,56,4
100036,1020,1479,1001,"2024-10-19",160,81,5
100037,1014,1315,1001,"2024-10-20",97,65,5
100038,1018,1320,1001,"2024-11-02",193,104,5
100039,1015,1234,1001,"2024-11-04",155,67,4
100040,1012,1050,1001,"2024-11-05",112,134,4
100041,1019,1286,1001,"2024-11-16",100,87,4
100042,1004,1164,1001,"2024-12-10",131,60,1
100043,1017,1059,1001,"2024-12-12",140,103,5
100044,1006,1193,1001,"2024-12-24",165,85,5
100045,1011,1439,1002,"2023-01-17",91,81,3
100046,1017,1109,1002,"2023-02-19",154,83,4
100047,1024,1180,1002,"2023-02-23",169,96,5
100048,1024,1417,1002,"2023-03-13",167,124,4
100049,1007,1267,1002,"2023-04-06",190,55,4
100050,1019,1144,1002,"2023-05-10",110,83,5
100051,1016,1114,1002,"2023-06-07",139,138,1
100052,1001,1139,1002,"2023-07-05",230,66,5
100053,1012,1048,1002,"2023-07-16",191,86,4
100054,1019,1309,1002,"2023-08-02",142,79,3
100055,1023,1164,1002,"2023-08-19",190,65,1
100056,1001,1031,1002,"2023-09-02",165,144,2
100057,1013,1477,1002,"2023-09-27",163,94,4
100058,1012,1048,1002,"2023-10-18",220,88,5
100059,1022,1472,1002,"2023-12-07",178,78,4
100060,1004,1192,1002,"2023-12-18",190,53,2
100061,1013,1340,1002,"2024-01-24",202,146,2
100062,1019,1052,1002,"2024-02-19",123,65,5
100063,1001,1311,1002,"2024-02-29",231,94,3
100064,1019,1331,1002,"2024-03-21",155,63,4
100065,1009,1396,1002,"2024-04-20",120,116,1
100066,1023,1061,1002,"2024-05-29",165,87,4
100067,1009,1306,1002,"2024-06-03",249,89,5
100068,1011,1170,1002,"2024-07-05",160,64,5
100069,1024,1200,1002,"2024-08-08",257,132,4
100070,1017,1149,1002,"2024-11-22",230,150,5
100071,1017,1311,1002,"2024-12-11",174,115,4
100072,1018,1215,1002,"2024-12-13",205,61,3
100073,1009,1451,1003,"2023-01-05",234,70,3
100074,1004,1165,1003,"2023-01-25",176,76,3
100075,1011,1439,1003,"2023-02-02",152,80,5
100076,1005,1150,1003,"2023-02-14",180,84,4
100077,1022,1127,1003,"2023-02-27",218,138,4
100078,1006,1386,1003,"2023-03-17",122,114,4
100079,1011,1403,1003,"2023-04-08",139,88,3
100080,1005,1011,1003,"2023-04-14",217,111,5
100081,1015,1401,1003,"2023-04-18",207,128,3
100082,1009,1215,1003,"2023-05-14",244,78,5
100083,1019,1185,1003,"2023-05-25",175,81,3
100084,1001,1412,1003,"2023-06-12",152,129,5
100085,1002,1008,1003,"2023-06-22",90,99,5
100086,1023,1165,1003,"2023-07-10",128,86,5
100087,1015,1369,1003,"2023-07-25",171,156,2
100088,1010,1103,1003,"2023-08-30",240,52,3
100089,1020,1222,1003,"2023-09-01",157,143,4
100090,1017,1155,1003,"2023-10-27",171,52,4
100091,1011,1077,1003,"2023-11-11",162,90,5
100092,1001,1149,1003,"2023-11-16",149,149,3
100093,1002,1086,1003,"2023-11-29",154,48,2
100094,1007,1311,1003,"2023-12-09",170,59,4
100095,1013,1480,1003,"2023-12-19",177,168,4
100096,1006,1016,1003,"2023-12-23",124,113,5
100097,1018,1472,1003,"2024-01-02",207,51,3
100098,1005,1096,1003,"2024-01-10",230,96,5
100099,1017,1306,1003,"2024-01-12",165,143,5
100100,1015,1477,1003,"2024-02-09",298,121,5
100101,1022,1139,1003,"2024-02-10",142,85,3
100102,1024,1360,1003,"2024-03-08",245,138,5
100103,1007,1306,1003,"2024-03-17",166,112,5
100104,1013,1385,1003,"2024-04-20",279,172,4
100105,1008,1211,1003,"2024-05-08",121,90,3
100106,1005,1472,1003,"2024-05-20",181,138,5
100107,1024,1038,1003,"2024-06-01",123,97,4
100108,1023,1421,1003,"2024-06-07",127,105,5
100109,1005,1444,1003,"2024-06-16",204,95,3
100110,1014,1189,1003,"2024-06-19",119,63,3
100111,1015,1463,1003,"2024-07-08",295,148,4
100112,1023,1193,1003,"2024-07-14",172,120,2
100113,1015,1137,1003,"2024-08-05",175,89,5
100114,1011,1329,1003,"2024-08-16",106,68,4
100115,1023,1484,1003,"2024-08-25",200,61,5
100116,1007,1059,1003,"2024-09-25",192,110,5
100117,1004,1046,1003,"2024-10-02",112,106,4
100118,1008,1056,1003,"2024-11-04",247,140,4
100119,1018,1408,1003,"2024-11-25",197,60,1
100120,1023,1301,1003,"2024-12-11",157,73,3
100121,1007,1150,1004,"2023-01-08",236,59,5
100122,1020,1401,1004,"2023-01-25",250,144,3
100123,1005,1113,1004,"2023-02-09",177,132,5
100124,1009,1095,1004,"2023-02-26",135,71,3
100125,1020,1366,1004,"2023-03-02",173,116,5
100126,1011,1225,1004,"2023-03-24",154,77,4
100127,1013,1287,1004,"2023-05-09",288,101,4
100128,1006,1008,1004,"2023-05-21",177,79,4
100129,1016,1472,1004,"2023-06-06",233,85,5
100130,1003,1331,1004,"2023-06-09",101,75,5
100131,1002,1085,1004,"2023-06-29",189,65,5
100132,1008,1398,1004,"2023-07-02",294,130,4
100133,1021,1191,1004,"2023-07-17",94,96,3
100134,1006,1002,1004,"2023-08-26",164,114,4
100135,1009,1306,1004,"2023-08-28",247,130,4
100136,1022,1306,1004,"2023-08-30",153,86,5
100137,1003,1329,1004,"2023-11-19",167,85,4
100138,1014,1006,1004,"2023-11-29",160,73,4
100139,1001,1124,1004,"2023-12-11",159,113,2
100140,1002,1291,1004,"2023-12-27",133,106,1
100141,1013,1090,1004,"2024-01-02",198,84,1
100142,1012,1234,1004,"2024-03-05",297,161,3
100143,1018,1373,1004,"2024-03-16",188,50,5
100144,1018,1412,1004,"2024-04-06",245,69,5
100145,1001,1373,1004,"2024-04-09",236,91,3
100146,1009,1155,1004,"2024-04-24",218,79,3
100147,1020,1214,1004,"2024-04-29",290,120,3
100148,1007,1267,1004,"2024-05-05",158,113,1
100149,1012,1480,1004,"2024-05-27",184,171,5
100150,1018,1320,1004,"2024-06-26",123,142,4
100151,1021,1164,1004,"2024-07-22",123,95,5
100152,1018,1381,1004,"2024-08-17",217,90,5
100153,1010,1059,1004,"2024-08-19",137,80,5
100154,1022,1104,1004,"2024-11-01",231,62,3
100155,1001,1124,1004,"2024-12-10",233,71,4
100156,1023,1046,1004,"2024-12-22",117,90,4
100157,1016,1267,1005,"2023-01-10",196,131,2
100158,1021,1255,1005,"2023-02-28",105,94,3
100159,1003,1260,1005,"2023-03-02",163,71,5
100160,1012,1401,1005,"2023-04-23",170,61,4
100161,1004,1361,1005,"2023-05-04",186,81,3
100162,1010,1267,1005,"2023-05-05",176,131,5
100163,1018,1116,1005,"2023-05-20",144,130,5
100164,1018,1058,1005,"2023-05-29",213,143,5
100165,1021,1256,1005,"2023-06-27",102,70,5
100166,1001,1267,1005,"2023-07-05",162,82,2
100167,1016,1215,1005,"2023-07-26",206,64,4
100168,1007,1278,1005,"2023-08-20",221,121,5
100169,1019,1297,1005,"2023-10-23",105,74,5
100170,1014,1456,1005,"2023-11-17",137,63,5
100171,1022,1306,1005,"2023-12-20",203,128,4
100172,1009,1412,1005,"2023-12-23",197,133,4
100173,1023,1016,1005,"2024-01-15",118,108,4
100174,1001,1119,1005,"2024-02-23",219,108,5
100175,1012,1176,1005,"2024-02-29",206,143,5
100176,1003,1170,1005,"2024-03-12",94,82,5
