id,cityid,observedat,tempdaymin,tempdaymax,tempdayavg,precipmm,pressure,windspeed,windgusts
10001,1001,"2023-01-01",10.5,14.3,12.2,5.6,1010.3,8.4,20.0
10002,1001,"2023-01-02",4.7,11.4,8.7,4.3,1014.7,5.0,11.1
10003,1001,"2023-01-03",1.0,9.3,5.5,0.3,1023.6,5.5,16.1
10004,1001,"2023-01-04",8.8,13.0,11.6,12.3,1012.7,12.7,21.1
10005,1001,"2023-01-05",9.8,11.5,10.5,0.9,1017.6,7.4,16.9
10006,1001,"2023-01-06",8.3,11.0,10.0,2.3,1015.3,6.6,15.0
10007,1001,"2023-01-07",9.0,11.1,10.2,1.3,1007.9,7.9,15.0
10008,1001,"2023-01-08",6.6,10.0,8.2,3.0,997.8,6.7,15.0
10009,1001,"2023-01-09",5.5,8.5,7.1,2.9,997.5,6.1,11.9
10010,1001,"2023-01-10",5.7,10.0,7.1,8.3,1011.3,7.3,16.1
10011,1001,"2023-01-11",8.6,11.9,10.0,5.1,1007.0,9.2,18.1
10012,1001,"2023-01-12",9.1,11.9,10.7,18.8,1002.6,12.0,21.9
10013,1001,"2023-01-13",8.1,9.5,9.0,0.4,1004.8,10.8,20.0
10014,1001,"2023-01-14",5.7,11.4,8.2,18.7,1002.3,8.5,18.1
10015,1001,"2023-01-15",3.9,7.9,6.6,5.5,996.7,9.7,21.9
10016,1001,"2023-01-16",2.5,5.1,3.8,17.4,983.4,5.2,16.1
10017,1001,"2023-01-17",-1.2,5.0,1.9,0.6,986.7,4.2,13.9
10018,1001,"2023-01-18",-2.3,5.4,2.3,1.0,993.7,6.1,13.9
10019,1001,"2023-01-19",0.3,5.7,3.7,6.6,1003.6,5.1,16.1
10020,1001,"2023-01-20",0.2,2.3,1.1,7.5,1014.3,4.2,8.9
10021,1001,"2023-01-21",-2.6,2.4,0.0,0.0,1032.0,2.2,8.1
10022,1001,"2023-01-22",-2.4,2.8,1.6,0.0,1034.4,3.8,9.2
10023,1001,"2023-01-23",2.4,4.8,3.3,0.0,1037.5,3.4,8.1
10024,1001,"2023-01-24",1.0,3.4,2.2,0.0,1039.1,3.3,8.1
10025,1001,"2023-01-25",-0.6,0.9,0.2,1.0,1032.7,3.2,8.1
10026,1001,"2023-01-26",0.3,7.6,4.6,2.3,1025.4,4.3,11.1
10027,1001,"2023-01-27",2.9,6.0,4.2,0.0,1028.3,5.8,11.9
10028,1001,"2023-01-28",1.7,5.6,3.6,0.0,1030.6,2.4,6.1
10029,1001,"2023-01-29",3.8,7.0,4.8,0.1,1024.8,5.8,11.9
10030,1001,"2023-01-30",5.0,8.3,7.1,1.2,1018.7,8.8,17.5
10031,1001,"2023-01-31",3.6,9.1,6.6,0.0,1020.8,7.7,16.9
10032,1001,"2023-02-01",6.3,8.4,7.5,0.0,1018.3,10.8,18.9
10033,1001,"2023-02-02",6.8,9.4,8.3,2.4,1022.6,8.0,13.9
10034,1001,"2023-02-03",8.0,9.9,9.0,0.0,1026.3,8.2,16.1
10035,1001,"2023-02-04",4.9,8.6,7.2,0.1,1035.8,1.7,6.1
10036,1001,"2023-02-05",3.3,8.4,6.8,1.6,1039.8,6.2,16.1
10037,1001,"2023-02-06",0.4,8.4,4.4,0.0,1042.0,1.9,8.1
10038,1001,"2023-02-07",-1.7,4.7,1.1,0.1,1040.0,1.7,5.0
10039,1001,"2023-02-08",-2.1,6.2,1.0,0.0,1036.4,2.3,6.9
10040,1001,"2023-02-09",-1.8,5.9,1.8,0.0,1031.6,3.6,7.2
10041,1001,"2023-02-10",-1.0,8.4,4.4,0.0,1035.0,5.5,11.9
10042,1001,"2023-02-11",6.6,9.8,8.0,0.0,1034.6,4.8,8.9
10043,1001,"2023-02-12",6.4,8.7,7.4,0.0,1038.6,1.6,5.0
10044,1001,"2023-02-13",2.0,11.0,7.5,0.0,1036.3,2.4,6.1
10045,1001,"2023-02-14",0.9,11.7,5.4,0.0,1032.5,1.7,5.0
10046,1001,"2023-02-15",0.4,10.4,5.1,0.0,1025.4,2.9,7.7
10047,1001,"2023-02-16",4.0,10.6,7.9,3.8,1020.9,5.4,11.1
10048,1001,"2023-02-17",9.3,11.1,10.2,0.2,1018.3,9.3,21.1
10049,1001,"2023-02-18",9.4,11.3,10.3,0.8,1018.1,8.8,18.9
10050,1001,"2023-02-19",5.5,9.7,7.9,1.3,1022.3,5.3,13.1
10051,1001,"2023-02-20",6.2,9.4,8.2,0.0,1021.3,8.6,16.9
10052,1001,"2023-02-21",7.0,9.4,8.4,0.0,1018.4,4.6,11.1
10053,1001,"2023-02-22",4.2,8.9,6.8,2.0,1012.2,3.5,6.9
10054,1001,"2023-02-23",2.3,9.3,6.7,0.3,1015.3,2.9,8.9
10055,1001,"2023-02-24",1.6,8.6,5.2,4.3,1009.4,6.1,16.1
10056,1001,"2023-02-25",0.8,7.2,4.6,0.3,1012.5,5.3,13.1
10057,1001,"2023-02-26",0.2,6.5,3.5,0.0,1025.2,5.2,12.4
10058,1001,"2023-02-27",-0.6,7.4,3.6,0.0,1030.7,3.8,11.9
10059,1001,"2023-02-28",0.5,6.3,3.2,1.6,1031.8,2.4,8.1
10060,1001,"2023-03-01",-3.6,6.6,2.3,0.0,1028.9,3.1,10.0
10061,1001,"2023-03-02",1.5,6.6,3.8,0.0,1025.2,5.6,11.1
10062,1001,"2023-03-03",1.5,7.5,4.8,0.0,1026.5,3.4,10.0
10063,1001,"2023-03-04",3.0,7.8,6.0,0.6,1025.6,4.4,11.1
10064,1001,"2023-03-05",2.1,6.2,3.7,1.5,1016.8,2.7,8.1
10065,1001,"2023-03-06",1.3,6.4,3.8,4.2,1004.4,4.5,15.0
10066,1001,"2023-03-07",-0.6,5.4,2.7,3.2,997.7,4.4,13.9
10067,1001,"2023-03-08",-1.7,3.4,1.0,1.0,995.3,3.7,10.0
10068,1001,"2023-03-09",0.9,2.7,1.8,15.2,994.8,4.5,11.1
10069,1001,"2023-03-10",0.0,2.6,1.8,16.4,992.2,6.9,16.9
10070,1001,"2023-03-11",-2.5,6.8,2.2,0.0,1010.2,2.6,10.0
10071,1001,"2023-03-12",0.9,10.7,6.6,0.3,1006.9,6.8,15.0
10072,1001,"2023-03-13",9.0,14.7,12.3,3.4,993.4,13.1,28.9
10073,1001,"2023-03-14",3.0,11.2,7.1,6.9,997.4,7.7,16.9
10074,1001,"2023-03-15",1.5,8.6,4.9,0.3,1016.3,3.2,10.0
10075,1001,"2023-03-16",5.2,13.6,8.4,0.4,1011.9,7.2,13.9
10076,1001,"2023-03-17",7.7,15.2,11.4,0.0,1006.3,3.7,8.9
10077,1001,"2023-03-18",7.7,15.7,11.7,3.1,1008.9,4.2,11.9
10078,1001,"2023-03-19",7.6,10.8,9.0,0.8,1013.9,4.1,8.1
10079,1001,"2023-03-20",6.9,9.4,8.3,5.4,1017.5,6.1,11.1
10080,1001,"2023-03-21",8.9,12.1,10.1,2.6,1011.9,5.9,12.4
10081,1001,"2023-03-22",8.5,12.0,10.4,5.2,1004.4,8.1,16.1
