region_name,country_name,city_name,Exceed Days (any)
Central Europe,Austria,Graz,111
Central Europe,Austria,Salzburg,74
Central Europe,Austria,Vienna,77
Central Europe,Croatia,Zagreb,93
Central Europe,Czech Republic,Brno,64
Central Europe,Czech Republic,Prague,142
Central Europe,Germany,Berlin,126
Central Europe,Germany,Hamburg,66
Central Europe,Germany,Leipzig,5
Central Europe,Germany,Munich,55
Central Europe,Germany,Stuttgart,62
Central Europe,Hungary,Budapest,90
Central Europe,Poland,Warsaw,67
Eastern Europe,Belarus,Minsk,70
Eastern Europe,Greece,Athens,32
Eastern Europe,Russia,Kazan,66
Eastern Europe,Russia,Moscow,136
Eastern Europe,Russia,St. Petersburg,82
Eastern Europe,Russia,Ufa,130
Eastern Europe,Serbia,Belgrade,11
Eastern Europe,Turkey,Ankara,125
Eastern Europe,Turkey,Istanbul,310
Western Europe,Belgium,Brussels,63
Western Europe,Denmark,Copenhagen,22
Western Europe,Finland,Helsinki,46
Western Europe,France,Lyon,60
Western Europe,France,Marseille,31
Western Europe,France,Paris,112
Western Europe,Italy,Milan,45
Western Europe,Italy,Rome,124
Western Europe,Spain,Barcelona,65
Western Europe,Sweden,Gothenburg,93
Western Europe,Sweden,Stockholm,34
Western Europe,United Kingdom,Edinburgh,66
Western Europe,United Kingdom,London,174
