region_name,country_name,P95 Recorded Value
Central Europe,Austria,103.71688715616862
Central Europe,Croatia,112.67660013834636
Central Europe,Czech Republic,127.409436861674
Central Europe,Germany,121.8493394056956
Central Europe,Hungary,91.1931749979655
Central Europe,Poland,131.5098845163981
Eastern Europe,Belarus,129.70648447672525
Eastern Europe,Greece,150.903200785319
Eastern Europe,Russia,113.19537719090779
Eastern Europe,Serbia,88.98408317565918
Eastern Europe,Turkey,105.20030450820923
Western Europe,Belgium,117.2754332224528
Western Europe,Denmark,107.5086161295573
Western Europe,France,104.30183304680719
Western Europe,Italy,94.27095397313435
Western Europe,Netherlands,120.48374239603679
Western Europe,Spain,104.71498330434163
Western Europe,Sweden,106.31056706110637
Western Europe,United Kingdom,133.03462823232016
