region_name,country_name,city_name,P95 Recorded Value
Central Europe,Czech Republic,Prague,161.4588998158773
Central Europe,Germany,Hamburg,155.68400065104166
Eastern Europe,Greece,Athens,149.73149045308432
Western Europe,United Kingdom,London,140.05210749308267
Western Europe,United Kingdom,Edinburgh,134.68520863850912
Eastern Europe,Turkey,Istanbul,131.55798212687174
Western Europe,Denmark,Copenhagen,131.5534756978353
Central Europe,Germany,Stuttgart,130.53785959879556
Eastern Europe,Russia,Kazan,128.07090059916177
Western Europe,Spain,Barcelona,126.68857510884602
