file,csv,rows,cols,seconds,error
a2_q03_B.mdx,a2_q03_B.csv,35,4,0.088,
a2_q06_B.mdx,a2_q06_B.csv,10,4,0.072,
a2_q07_A.mdx,a2_q07_A.csv,21,4,0.058,
a2_q08_A.mdx,a2_q08_A.csv,8,3,0.062,
a2_q10_A.mdx,a2_q10_A.csv,10,3,0.054,
a2_q11_B.mdx,a2_q11_B.csv,3,2,0.043,
a2_q17_A.mdx,a2_q17_A.csv,21,4,0.062,
a2_q19_B.mdx,a2_q19_B.csv,13,5,0.075,
a2_q24_B.mdx,a2_q24_B.csv,19,3,0.055,
a2_q28_A.mdx,a2_q28_A.csv,10,3,0.05,
a2_q31.mdx,a2_q31.csv,10,4,0.06,
a2_q32.mdx,a2_q32.csv,10,4,0.07,
a2_q33.mdx,a2_q33.csv,20,6,0.091,
